# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTC9	uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26611030|imex:IM-28702-9	-
uniprotkb:P0DTD1-PRO_0000449619	complex portal:CPX-5223	intact:EBI-25475847|uniprotkb:P0DTD1-PRO_0000449619	intact:EBI-25401791|intact:EBI-26452941	psi-mi:p0dtd1-pro_0000449619(display_short)|psi-mi:Host translation inhibitor nsp1(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:40s_human-1(display_short)|IntAct:SSU(complex synonym)|IntAct:40S cytosolic small ribosomal subunit(complex recommended name)|IntAct:"FAU:RACK1:RPSA:RPS2:RPS3:RPS3A:RPS4X:RPS4Y1:RPS4Y2:RPS5:RPS6:RPS7:RPS8:RPS9:RPS10:RPS11:RPS12:RPS13:RPS14:RPS15:RPS15A:RPS16:RPS17:RPS18:RPS19:RPS20:RPS21:RPS23:RPS24:RPS25:RPS26:RPS27:RPS27A:RPS27L:RPS28:RPS29"(complex systematic name)	psi-mi:"MI:0013"(biophysical)	Lapointe CP. et al.(2021)	intact:EBI-26602749|pubmed:33479166|imex:IM-28745	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26619246|imex:IM-28745-3	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0426"(light microscopy)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26610433|imex:IM-28702-47	-
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Zhou Z. et al.(2020)	intact:EBI-26586122|pubmed:33343834|imex:IM-28631	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26589409|imex:IM-28631-13	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Zhou Z. et al.(2020)	intact:EBI-26586122|pubmed:33343834|imex:IM-28631	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26589322|imex:IM-28631-1	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Zhou Z. et al.(2020)	intact:EBI-26586122|pubmed:33343834|imex:IM-28631	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26589352|imex:IM-28631-7	-
complex portal:CPX-5223	uniprotkb:P0DTD1-PRO_0000449619	intact:EBI-25401791|intact:EBI-26452941	intact:EBI-25475847|uniprotkb:P0DTD1-PRO_0000449619	psi-mi:40s_human-1(display_short)|IntAct:SSU(complex synonym)|IntAct:40S cytosolic small ribosomal subunit(complex recommended name)|IntAct:"FAU:RACK1:RPSA:RPS2:RPS3:RPS3A:RPS4X:RPS4Y1:RPS4Y2:RPS5:RPS6:RPS7:RPS8:RPS9:RPS10:RPS11:RPS12:RPS13:RPS14:RPS15:RPS15A:RPS16:RPS17:RPS18:RPS19:RPS20:RPS21:RPS23:RPS24:RPS25:RPS26:RPS27:RPS27A:RPS27L:RPS28:RPS29"(complex systematic name)	psi-mi:p0dtd1-pro_0000449619(display_short)|psi-mi:Host translation inhibitor nsp1(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:"MI:0404"(comigration in non denaturing gel electrophoresis)	Lapointe CP. et al.(2021)	intact:EBI-26602749|pubmed:33479166|imex:IM-28745	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26619750|imex:IM-28745-9	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26608465|imex:IM-28702-41	-
complex portal:CPX-5223	uniprotkb:P0DTD1-PRO_0000449619	intact:EBI-25401791|intact:EBI-26452941	intact:EBI-25475847|uniprotkb:P0DTD1-PRO_0000449619	psi-mi:40s_human-1(display_short)|IntAct:SSU(complex synonym)|IntAct:40S cytosolic small ribosomal subunit(complex recommended name)|IntAct:"FAU:RACK1:RPSA:RPS2:RPS3:RPS3A:RPS4X:RPS4Y1:RPS4Y2:RPS5:RPS6:RPS7:RPS8:RPS9:RPS10:RPS11:RPS12:RPS13:RPS14:RPS15:RPS15A:RPS16:RPS17:RPS18:RPS19:RPS20:RPS21:RPS23:RPS24:RPS25:RPS26:RPS27:RPS27A:RPS27L:RPS28:RPS29"(complex systematic name)	psi-mi:p0dtd1-pro_0000449619(display_short)|psi-mi:Host translation inhibitor nsp1(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:"MI:0404"(comigration in non denaturing gel electrophoresis)	Lapointe CP. et al.(2021)	intact:EBI-26602749|pubmed:33479166|imex:IM-28745	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26619750|imex:IM-28745-9	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:1016"(fluorescence recovery after photobleaching)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26610145|imex:IM-28702-43	-
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Zhou Z. et al.(2020)	intact:EBI-26586122|pubmed:33343834|imex:IM-28631	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26589404|imex:IM-28631-11	-
complex portal:CPX-5223	uniprotkb:P0DTD1-PRO_0000449619	intact:EBI-25401791|intact:EBI-26452941	intact:EBI-25475847|uniprotkb:P0DTD1-PRO_0000449619	psi-mi:40s_human-1(display_short)|IntAct:SSU(complex synonym)|IntAct:40S cytosolic small ribosomal subunit(complex recommended name)|IntAct:"FAU:RACK1:RPSA:RPS2:RPS3:RPS3A:RPS4X:RPS4Y1:RPS4Y2:RPS5:RPS6:RPS7:RPS8:RPS9:RPS10:RPS11:RPS12:RPS13:RPS14:RPS15:RPS15A:RPS16:RPS17:RPS18:RPS19:RPS20:RPS21:RPS23:RPS24:RPS25:RPS26:RPS27:RPS27A:RPS27L:RPS28:RPS29"(complex systematic name)	psi-mi:p0dtd1-pro_0000449619(display_short)|psi-mi:Host translation inhibitor nsp1(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:"MI:0404"(comigration in non denaturing gel electrophoresis)	Lapointe CP. et al.(2021)	intact:EBI-26602749|pubmed:33479166|imex:IM-28745	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26619743|imex:IM-28745-7	-
uniprotkb:Q96JC1	uniprotkb:P0DTC3	ensembl:ENSP00000335193.5|uniprotkb:O94869|uniprotkb:Q7Z3V3|uniprotkb:Q96B93|uniprotkb:Q96RM0|uniprotkb:Q71SQ6|intact:EBI-1050197|uniprotkb:Q96JC1	intact:EBI-25475894|uniprotkb:P0DTC3	psi-mi:vps39_human(display_short)|psi-mi:Vam6/Vps39-like protein(display_long)|uniprotkb:KIAA0770(gene name synonym)|uniprotkb:VAM6(gene name synonym)|uniprotkb:TLP(gene name synonym)|uniprotkb:TRAP1-like protein(gene name synonym)|uniprotkb:VPS39(gene name)	psi-mi:ap3a_sars2(display_short)|psi-mi:ORF3a protein(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)|uniprotkb:Protein 3a(gene name synonym)	psi-mi:"MI:0096"(pull down)	Miao G. et al.(2020)	intact:EBI-26586092|pubmed:33422265|imex:IM-28646	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26587503|imex:IM-28646-23	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26610963|imex:IM-28702-27	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Gobeil SM. et al.(2020)	intact:EBI-26586111|pubmed:33417835|imex:IM-28672	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26591226|imex:IM-28672-23	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26610963|imex:IM-28702-27	-
complex portal:CPX-5223	uniprotkb:P0DTD1-PRO_0000449619	intact:EBI-25401791|intact:EBI-26452941	intact:EBI-25475847|uniprotkb:P0DTD1-PRO_0000449619	psi-mi:40s_human-1(display_short)|IntAct:SSU(complex synonym)|IntAct:40S cytosolic small ribosomal subunit(complex recommended name)|IntAct:"FAU:RACK1:RPSA:RPS2:RPS3:RPS3A:RPS4X:RPS4Y1:RPS4Y2:RPS5:RPS6:RPS7:RPS8:RPS9:RPS10:RPS11:RPS12:RPS13:RPS14:RPS15:RPS15A:RPS16:RPS17:RPS18:RPS19:RPS20:RPS21:RPS23:RPS24:RPS25:RPS26:RPS27:RPS27A:RPS27L:RPS28:RPS29"(complex systematic name)	psi-mi:p0dtd1-pro_0000449619(display_short)|psi-mi:Host translation inhibitor nsp1(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:"MI:0404"(comigration in non denaturing gel electrophoresis)	Lapointe CP. et al.(2021)	intact:EBI-26602749|pubmed:33479166|imex:IM-28745	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26619737|imex:IM-28745-49	-
uniprotkb:P0DTD1-PRO_0000449628	uniprotkb:P0DTD1-PRO_0000449633	intact:EBI-25475880|uniprotkb:P0DTD1-PRO_0000449628	intact:EBI-25492395|uniprotkb:P0DTD1-PRO_0000449633	psi-mi:p0dtd1-pro_0000449628(display_short)|psi-mi:Non-structural protein 10(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:p0dtd1-pro_0000449633(display_short)|psi-mi:2'-O-methyltransferase nsp16(display_long)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:rep(gene name)	psi-mi:"MI:0071"(molecular sieving)	Sumera Perveen et al.(2021)	intact:EBI-26442140|pubmed:33423577|doi:10.1101/2020.10.14.340034|imex:IM-28473	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26564397|imex:IM-28473-18	-
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Zhou Z. et al.(2020)	intact:EBI-26586122|pubmed:33343834|imex:IM-28631	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26589428|imex:IM-28631-15	-
refseq:NC_045512.2	uniprotkb:P0DTC9	intact:EBI-26977583|intact:EBI-26976848|intact:EBI-26976609|intact:EBI-26976231|intact:EBI-26976238|intact:EBI-26969115|intact:EBI-26969127|intact:EBI-26969090|intact:EBI-26969064|intact:EBI-26968819|intact:EBI-26967810|intact:EBI-26967658|intact:EBI-26967392|intact:EBI-26956665|intact:EBI-26956558|intact:EBI-26956331|intact:EBI-26956485|intact:EBI-26956583|intact:EBI-26903190|intact:EBI-26874796|intact:EBI-26874784|intact:EBI-26871880|intact:EBI-26870726|intact:EBI-26870604|intact:EBI-26451505|intact:EBI-26608251	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:sl1_5_prime utr(display_short)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0426"(light microscopy)	Lu S. et al.(2021)	intact:EBI-26602730|pubmed:33479198|imex:IM-28702	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26608444|imex:IM-28702-5	-
